CarParkID,CarParkName_Zh_tw,TotalSpaces,Spaces_SpaceType,Spaces_IsMechanical,Spaces_HasChargingPoint,Spaces_NumberOfSpaces,Spaces_StayType
13P0C0004B,沙鹿區-公有-沙田立體P,278,2,0,0,92,1
06P0C0027A,西屯區-公有-秋紅谷平面停車場,1159,2,0,0,1045,4
08P0C0003A,北屯區-公有-(細廣停1)景賢P,105,1,0,0,105,1
04P0C0009C,西區-公有-柳川P,98,1,0,0,98,2
06P0C0003A,西屯區-公有-下石碑P,156,1,0,0,156,4
05P0C0007A,北區-公有-東欣P,63,1,0,0,63,4
28P0C0007A,大里區-公有-公六公園P,30,1,0,0,30,1
11P0C0003A,大甲區-公有-經國路P,68,1,0,0,68,4
28P0C0015A,大里區-公有-崇光P,24,1,0,0,24,1
08P0C0001A,北屯區-公有-(公49)新平公園附屬P,95,1,0,0,95,1
05P0C0005A,北區-公有-育樂P,58,1,0,0,58,4
02P0C0007A,東區-公有-東英P,109,1,0,0,102,2
08P0C0028A,北屯區-公有-平德停車場,10,1,0,0,10,4
08P0C0005A,北屯區-公有-(廣停66)新平P,150,1,0,0,150,1
